name	team_name
fernet_dev	Runtime Systems
Promptbird Staging 1	Prod - Growth
Promptbird Staging 2	Prod - Growth
Newt Production	Prod - Growth
Core App Services - testing	Platform Services
Brand Surveys	Revenue Eng & Product
Brand Surveys	Revenue Eng & Product
Graph Service	Runtime Systems
Expert Search Broker	Search
Hadoop - PROC cluster overview	Core storage & database engineering
MinHash monitoring	Trends
Static-Sites	Gazebo
Observe::Zipkin::Prod	Runtime Systems
testing new	Runtime Systems
Hummingbird::Twitterweb::Collection	Runtime Systems
Site Capacity Headroom	Hardware Eng & Demand Svcs
Trends Experiment	Trends
Trends Experiment	Trends
Gazebo	Gazebo
timelineservice testing	Platform Services
timelineservice testing in the monorail	Platform Services
Cassowary Sarus	User Discovery & Personalization
Cassowary Sarus Total	User Discovery & Personalization
Syndication	Platform Services
Haplo-V2 test	Platform Services
Search Top Level Metrics	Search
Promptbird Custom Host	Growth
Puppetserver Metrics	Infrastructure Production Services
web.tweetdeck_http_requests	Security
Trends Staging Service	Trends
Twitterweb Capacity and Performance	Demand Services
ads.admixer metrics	Revenue Eng & Product
Platform Services Memcache Dashboard	Platform Services
Swift	Web
Latencies: Request (new)	Build & Release
Latencies: Thrift (new)	Build & Release
Other Latencies (new)	SRE
Diff #1 Twitterweb Canary	Hardware Eng & Demand Svcs
Hummingbird::Collection drilldown	Runtime Systems
Diff #2 Twitterweb Canary	Hardware Eng & Demand Svcs
Diff #3 Twitterweb Canary	Hardware Eng & Demand Svcs
Diff #4 Twitterweb Canary	Hardware Eng & Demand Svcs
Promptbird Custom Host	Growth
Vertica	Analytics
Profiles	Platform Services
Malware Capacity	Hardware Eng & Demand Svcs
Scarecrow Capacity	Hardware Eng & Demand Svcs
Tiered actions	Anti-Spam
Cassowary v2	User Discovery & Personalization
Mail MTA Capacity	Hardware Eng & Demand Svcs
Promptbird Custom Host	Growth
AlexTest - cuckoo_frontend	Runtime Systems
Puppetmaster Metrics	SRE
SMF1 TweetyPie Write	Platform Services
Cassandra - cassandra.devel.blobstore	Manhattan/Cassandra
Cassandra - cassandra.prod.chubbysnipe	Manhattan/Cassandra
Cassandra - cassandra.prod.imageproxy-cache	Manhattan/Cassandra
Cassandra - cassandra.prod.playground	Manhattan/Cassandra
Cassandra - cassandra.prod.syndication	Manhattan/Cassandra
Cassandra - cassandra.prod.tweetbutton	Manhattan/Cassandra
Cassandra - cuckoo-cassandra	Manhattan/Cassandra
Manhattan - manhattan.prod.athena	Manhattan/Cassandra
Service Efficiency  	Hardware Eng & Demand Svcs
Bryce's Test #1: Capacity Overhead	Hardware Eng & Demand Svcs
thrift in the monorail	Platform Services
haplo misc	Platform Services
Scoop	Platform Services
Vertica Single Node	Analytics
Sandeep's updated Play Around Dashboard	Hardware Eng & Demand Svcs
All Cassandra Cluster Dashboard	Manhattan/Cassandra
All Cassandra Cluster CPU Dashboard	Manhattan/Cassandra
All Cassandra Cluster Live Size Dashboard	Manhattan/Cassandra
All Cassandra Cluster Free Disk Dashboard	Manhattan/Cassandra
All Cassandra Cluster Request Rate Dashboard	Manhattan/Cassandra
All Cassandra Cluster Write Latency Dashboard	Manhattan/Cassandra
All Cassandra Cluster Read Latency Dashboard	Manhattan/Cassandra
All Cassandra Cluster Disk Util(%) Dashboard	Manhattan/Cassandra
All Cassandra Cluster Heap Util(%) Dashboard	Manhattan/Cassandra
Test-Toby	Runtime Systems
aurora-smf1-test	Aurora
aurora-smf1	Aurora
Promptbird Custom Host	Prod - Growth
Swift Search	Web
Apollo FrontEnd Power CPU	Hardware Eng + Demand Svcs
Beetle Frontend Power CPU	Hardware Eng + Demand Svcs
Bryce's Test Dashboard for upload	Hardware Eng & Demand Svcs
Help Center : Password Reset	User Services - Engineering
gds_edges in the monorail	Platform Services
